SEX,HSGPA,HSSTUDY1,HSSTUDY2,SLFRAT01,SLFRAT03,SLFRAT14,SATV,SATM,RSATV,RSATM
1,7,6,5,4,3,4,63,65,63,65
1,3,6,6,4,4,3,54,68,58,66
1,4,6,6,4,3,2,48,58,48,58
1,5,6,7,4,4,2,43,67,43,67
1,5,6,5,4,4,3,53,67,53,67
1,5,6,6,4,3,4,50,60,50,60
1,5,6,6,4,4,3,50,65,50,65
1,5,6,6,3,3,3,51,59,50,58
1,4,6,6,4,2,2,56,60,56,60
1,5,6,5,4,3,3,46,62,47,61
1,6,6,6,4,4,4,55,68,55,68
1,4,6,5,5,5,4,62,68,62,68
1,5,6,6,4,4,3,48,53,48,53
1,7,6,5,4,3,3,59,59,59,59
1,6,6,6,4,3,4,65,45,60,43
1,6,6,6,4,4,4,61,40,59,52
1,7,6,6,4,4,4,52,59,52,59
1,4,6,6,4,4,3,51,62,51,62
1,6,6,6,4,5,3,42,58,37,57
1,5,6,6,4,4,3,51,62,51,62
1,5,6,6,3,3,3,39,64,39,63
1,7,6,7,4,3,2,49,57,47,59
1,5,6,6,4,4,4,53,60,53,60
1,6,6,6,4,4,3,40,78,40,78
1,8,6,6,4,3,3,44,47,49,48
1,5,6,7,4,3,4,44,46,44,46
1,3,6,6,3,4,2,44,69,44,69
1,3,6,7,4,4,3,58,62,55,65
1,4,6,7,5,2,4,54,60,55,59
1,5,6,5,3,3,3,54,46,54,49
1,5,6,7,4,5,4,58,61,58,61
1,7,6,6,5,5,5,54,65,54,65
1,5,5,6,4,4,2,43,62,44,62
1,5,6,6,4,4,4,54,62,54,62
1,5,6,6,4,5,4,46,53,39,53
1,7,6,6,5,3,5,59,67,59,67
1,4,6,6,4,5,5,45,52,45,52
1,8,6,5,4,5,4,45,59,45,59
1,6,6,6,4,5,4,52,62,53,63
1,7,6,6,5,5,5,47,67,47,67
1,7,6,6,4,5,4,57,61,57,60
1,6,6,6,4,4,3,54,59,54,59
1,5,7,6,4,5,5,55,66,49,64
1,7,6,7,4,4,4,51,61,51,61
1,3,6,6,3,2,3,48,66,48,66
1,6,6,7,3,3,3,46,54,43,59
1,8,6,7,4,4,3,55,65,57,65
1,7,6,6,4,4,4,60,62,62,60
1,8,6,5,5,5,5,54,62,53,62
1,7,6,6,5,4,2,44,68,44,68
1,0,6,6,4,5,4,56,65,52,63
1,6,7,0,4,4,4,61,56,56,61
1,4,6,6,5,3,4,51,64,51,64
1,6,5,5,0,2,4,52.5,62.5,63,52
1,5,6,6,4,3,2,45,55,43,57
1,5,6,6,4,4,5,46,64,46,64
1,6,6,7,4,5,2,56,56,52,57
1,5,6,6,4,3,4,50,50,54,46
1,7,6,6,4,5,2,42,66,48,60
1,7,6,6,3,4,5,59,65,59,65
1,6,6,6,3,4,3,37,60,41,60
1,4,6,6,4,2,4,65,67,61,68
1,6,6,6,4,4,3,48,45,45,48
1,5,6,5,4,4,5,59,52,51,56
1,4,6,5,3,4,4,51,47,54,43
1,4,6,5,3,4,4,48,38,48,38
1,5,6,0,5,2,4,60,68,60,68
1,7,6,6,4,5,3,55,63,52,63
1,5,6,6,4,4,3,41,52,41,52
1,6,6,5,3,2,0,55,45,50,46
1,3,6,6,3,3,4,50,57,54,55
1,5,6,5,4,4,4,62,76,64,74
1,6,6,7,4,3,3,48,65,48,65
1,5,7,6,4,4,4,50,65,50,65
1,5,6,6,5,4,4,59,69,59,69
1,4,6,6,4,3,3,54,62,54,62
1,3,6,6,5,2,4,61,73,61,73
1,6,6,6,4,4,4,50,60,50,60
1,4,6,5,3,3,3,49,51,41,53
1,5,6,6,4,2,2,51,76,51,76
2,5,6,6,4,4,4,51,59,51,59
2,5,6,6,3,3,2,48,54,37,56
2,5,6,6,3,3,2,45,58,45,58
2,5,6,6,3,3,3,48,52,48,52
2,8,6,6,4,3,3,68,70,68,70
2,4,6,5,3,4,2,45,45,44,46
2,6,6,6,4,3,3,51,57,45,57
2,5,6,6,3,4,3,54,56,52,56
2,5,6,6,4,4,2,43,63,43,63
2,5,6,5,4,3,4,52,46,38,46
2,6,6,5,3,4,2,49,48,49,48
2,5,6,6,4,3,5,60,57,61,56
2,5,6,6,4,4,3,49,51,43,51
2,6,6,5,5,5,4,51,54,51,52
2,7,6,6,5,5,5,63,61,63,60
2,6,6,6,4,2,3,48,59,51,57
2,7,6,5,4,4,2,54,56,49,52
2,5,6,6,4,4,4,58,58,55,58
2,5,6,6,4,4,4,57,53,57,53
2,7,6,6,4,3,5,67,61,67,61
2,4,7,6,4,4,3,55,61,53,61
2,6,6,6,4,5,4,47,56,37,56
2,6,6,6,4,5,5,50,53,46,57
2,7,6,6,4,4,3,42,38,38,52
2,5,6,6,4,4,4,54,59,51,59
2,5,6,5,4,4,5,44,51,44,51
2,6,6,6,4,4,3,39,52,35,50
2,6,6,6,5,5,5,64,56,64,56
2,8,6,6,4,4,3,56,49,56,49
2,7,7,6,4,5,5,43,42,46,49
2,4,6,7,3,4,3,48,59,48,59
2,8,6,5,4,5,4,42,43,42,43
2,7,7,6,4,5,4,53,50,50,53
2,5,7,5,4,4,4,53,54,49,58
2,5,6,6,3,4,3,37,51,35,52
2,5,6,6,3,3,5,48,48,48,48
2,8,5,5,5,4,4,70,63,70,63
2,5,6,6,4,3,5,58,62,45,58
2,7,6,5,5,5,5,47,54,48,55
2,7,0,7,4,4,4,54,65,54,65
2,7,6,6,5,4,5,57,58,58,57
2,8,6,5,5,5,4,47,60,47,60
2,6,6,5,4,3,5,60,40,53,47
2,8,6,7,5,4,4,51,69,51,69
2,8,6,6,5,4,5,63,62,63,62
2,7,6,6,5,5,5,41,66,41,66
2,5,6,6,4,4,3,47,33,43,37
2,8,6,6,5,3,4,60,65,58,55
2,8,6,6,4,5,4,57,60,55,60
2,5,6,4,4,4,5,62,58,62,58
2,8,6,5,5,5,5,62,71,62,71
2,5,6,7,4,4,3,59,61,54,70
2,6,6,5,5,4,4,66,42,60,48
2,8,6,5,5,4,5,57,63,57,63
2,6,6,4,5,4,5,65,53,61,54
2,8,6,5,4,4,5,60,46,60,44
2,6,6,5,4,5,2,45,54,45,54
2,5,6,6,4,3,2,45,57,45,57
2,8,6,6,4,4,4,55,56,56,55
2,8,6,6,5,4,4,72,73,72,73
2,8,6,6,3,4,3,49,61,48,62
2,7,6,6,4,5,3,56,51,55,51
2,5,7,6,4,3,3,44,56,47,53
2,4,6,5,3,3,3,44,42,37,41
2,7,6,6,4,4,3,44,55,44,55
2,7,6,5,4,4,4,46,46,46,46
2,5,6,5,3,4,3,46,54,46,54
2,6,6,6,3,4,3,50,54,46,56
2,7,7,5,5,5,5,55,55,54,56
2,6,6,5,4,5,3,46,52,44,47
2,6,6,5,4,3,4,60,55,60,55
2,6,6,5,4,4,5,56,55,56,55
2,7,6,6,5,4,4,58,63,57,64
2,7,6,6,4,4,3,50,60,50,60
2,6,6,6,4,4,3,50,56,51,55
2,6,6,5,4,5,4,57,55,57,55
2,5,7,6,4,4,4,59,54,57,58
2,7,6,6,5,5,4,63,57,63,58
2,5,6,5,4,3,4,48,47,47,48
2,6,6,5,4,3,5,42,53,42,53
2,5,6,6,4,2,5,62,58,62,58
2,7,6,6,4,5,4,62,63,62,63
2,6,7,6,4,4,4,62,62,53,63
2,6,6,5,4,4,5,55,50,55,54
2,6,6,6,4,4,3,44,64,46,62
2,7,6,6,4,4,4,38,54,43,54
2,5,6,5,3,3,3,49,50,47,51
2,6,6,6,4,4,3,48,43,43,48
2,8,6,5,5,5,4,52,62,52,62
2,5,6,6,3,4,2,41,45,39,45